SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
97_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,2,RZ,7.1,16.933,260,0.386,11.57,0.35,0.035,0.134,1.224
96_run2_ACP_BARE_RZ,ACP,Managed,BARE,5,RZ,7.1,18.3,130.667,0.569,2.21,0.12,0.025,0.569,3.031
94_run2_ACP_BARE_RZ,ACP,Managed,BARE,1,RZ,6.77,16.367,-74.667,0.559,2.21,0.11,0.035,0.58,13.039
91_run2_BASS_BARE_RZ,BASS,Managed,BARE,5,RZ,6.23,17.767,59.333,0.63,8.03,0.11,0.025,0.321,9.719
9_run2_BASS_BARE_BS,BASS,Managed,BARE,4,BS,6.3,18,384,0.649,7.76,0.02,0.11,0.344,4.412
84_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,3,RZ,7.2,15.233,223.333,0.373,6.65,0.19,0.02,0.13,0.62
83_run2_BASS_BARE_RZ,BASS,Managed,BARE,3,RZ,6.37,18.6,292.333,0.516,5.63,0.91,0.04,0.126,1.884
82_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,1,RZ,7.03,16.367,237.667,0.405,9.37,0.23,0.254,0.448,1.719
8_run2_ACP_BARE_BS,ACP,Managed,BARE,2,BS,6.47,17.433,116.667,0.545,2.15,0.02,0.04,1.031,3.677
79_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,4,RZ,7.57,17.367,226.667,0.303,8.37,0.52,0.045,0.252,0.529
73_run2_ACP_BARE_RZ,ACP,Managed,BARE,4,RZ,7.4,17.567,70.667,0.568,2.46,0.09,0.025,0.114,4.045
71_run1_BASS_BARE_RZ,BASS,Managed,BARE,2,RZ,5.7,15.767,300,0.476,8.83,2.13,0.183,0.371,3.225
65_run2_BASS_BARE_RZ,BASS,Managed,BARE,4,RZ,6.3,18,384,0.649,7.76,0.02,0.11,0.344,4.412
63_run1_BASS_BARE_RZ,BASS,Managed,BARE,1,RZ,6.03,15.667,256,0.417,7.49,1.23,0.146,1.101,2.03
60_run2_TRUG_BARE_BS,TRUG,Managed,BARE,1,BS,7.03,16.367,237.667,0.405,9.37,0.23,0.254,0.448,1.719
6_run2_ACP_BARE_BS,ACP,Managed,BARE,1,BS,6.77,16.367,-74.667,0.559,2.21,0.11,0.035,0.58,13.039
58_run2_TRUG_BARE_BS,TRUG,Managed,BARE,5,BS,7.57,16.367,250.667,0.355,3.69,0.18,0.04,1.133,2.146
51_run2_BASS_BARE_BS,BASS,Managed,BARE,1,BS,6.03,15.667,256,0.417,7.49,1.23,0.146,1.101,2.03
40_run2_BASS_BARE_BS,BASS,Managed,BARE,5,BS,6.23,17.767,59.333,0.63,8.03,0.11,0.025,0.321,9.719
36_run2_BASS_BARE_BS,BASS,Managed,BARE,2,BS,5.7,15.767,300,0.476,8.83,2.13,0.183,0.371,3.225
35_run2_BASS_BARE_BS,BASS,Managed,BARE,3,BS,6.37,18.6,292.333,0.516,5.63,0.91,0.04,0.126,1.884
3_run2_ACP_BARE_BS,ACP,Managed,BARE,4,BS,7.4,17.567,70.667,0.568,2.46,0.09,0.025,0.114,4.045
27_run2_ACP_BARE_BS,ACP,Managed,BARE,5,BS,7.1,18.3,130.667,0.569,2.21,0.12,0.025,0.569,3.031
26_run2_TRUG_BARE_BS,TRUG,Managed,BARE,4,BS,7.57,17.367,226.667,0.303,8.37,0.52,0.045,0.252,0.529
22_run2_TRUG_BARE_BS,TRUG,Managed,BARE,2,BS,7.1,16.933,260,0.386,11.57,0.35,0.035,0.134,1.224
20_run2_TRUG_BARE_BS,TRUG,Managed,BARE,3,BS,7.2,15.233,223.333,0.373,6.65,0.19,0.02,0.13,0.62
103_run2_ACP_BARE_RZ,ACP,Managed,BARE,2,RZ,6.47,17.433,116.667,0.545,2.15,0.02,0.04,1.031,3.677
102_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,5,RZ,7.57,16.367,250.667,0.355,3.69,0.18,0.04,1.133,2.146
101_run2_ACP_BARE_RZ,ACP,Managed,BARE,3,RZ,6.67,17.467,-30.667,0.416,2.57,0.06,0.025,0.815,3.52
10_run2_ACP_BARE_BS,ACP,Managed,BARE,3,BS,6.67,17.467,-30.667,0.416,2.57,0.06,0.025,0.815,3.52
