SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
100_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N4,RZ,5.63,12.83,111.33,0.63,6.90,0.02,0.05,1.47,52.58
101_run2_ACP_BARE_RZ,ACP,Managed,BARE,3,RZ,6.67,17.47,-30.67,0.42,2.57,0.06,0.03,0.82,3.52
102_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,5,RZ,7.57,16.37,250.67,0.36,3.69,0.18,0.04,1.13,2.15
103_run1_ACP_BARE_RZ,ACP,Managed,BARE,2,RZ,6.47,17.43,116.67,0.55,2.15,0.02,0.04,1.03,3.68
104_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N3,RZ,6.40,14.00,294.33,0.48,5.32,0.04,0.03,0.63,22.58
105_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N2,RZ,5.80,13.63,319.67,0.60,6.68,0.02,0.03,1.14,22.70
106_run1_ACP_BESE_RZ,ACP,Managed,BESE,4,RZ,6.97,15.77,111.33,0.52,2.20,0.04,0.03,0.91,23.85
107_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,N1,RZ,6.70,13.77,284.00,0.60,6.45,0.04,0.03,2.25,18.05
108_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N3,RZ,5.97,12.70,97.33,0.62,7.17,0.02,0.08,1.25,41.50
10_run2_ACP_BARE_BS,ACP,Managed,BARE,3,BS,6.67,17.47,-30.67,0.42,2.57,0.06,0.03,0.82,3.52
11_run2_ACP_BESE_BS,ACP,Managed,BESE,4,BS,6.97,15.77,111.33,0.52,2.20,0.04,0.03,0.91,23.85
12_run1_ACP_DEG_BS,ACP,Managed,DEGRADED,5,BS,7.33,18.30,53.33,0.58,2.85,0.02,0.04,0.12,1.49
13_run1_ACP_BESE_BS,ACP,Managed,BESE,5,BS,6.93,16.67,144.33,0.60,2.07,0.05,0.03,0.35,8.11
14_run1_ACP_NAT_BS,ACP,Natural,NATURAL,N5,BS,6.03,14.43,300.00,0.59,4.43,0.11,0.06,3.29,19.22
16_run1_BASS_BESE_BS,BASS,Managed,BESE,3,BS,6.83,16.43,269.33,0.54,6.26,1.97,0.08,0.20,1.56
