SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
100_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.633333333,12.83333333,111.3333333,0.628675,6.9,0.02,0.045,1.473158552,52.58426966
99_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.7,14.3,289.3333333,0.6197,8.61,0.04,0.061,3.09071397,16.89792311
98_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,6.4,12.41666667,151.3333333,0.55587,6.36,0.02,0.055,0.739756972,66.51358497
97_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,2,RZ,7.1,16.93333333,260,0.385566667,11.57,0.35,0.035,0.133744474,1.22351426
96_run2_ACP_BARE_RZ,ACP,Managed,BARE,5,RZ,7.1,18.3,130.6666667,0.568683333,2.21,0.12,0.025,0.568875464,3.030646278
95_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.6,14.1,-51.33333333,0.638941667,6.89,0.05,0.055,0.158757721,39.50586659
94_run2_ACP_BARE_RZ,ACP,Managed,BARE,1,RZ,6.766666667,16.36666667,-74.66666667,0.559461667,2.21,0.11,0.035,0.5800766,13.0393287
93_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.033333333,14.43333333,300,0.593893333,4.43,0.11,0.06,3.294328091,19.21939828
91_run2_BASS_BARE_RZ,BASS,Managed,BARE,5,RZ,6.233333333,17.76666667,59.33333333,0.630033333,8.03,0.11,0.025,0.321119906,9.718894645
90_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.533333333,12.86666667,96.33333333,0.55521,6.89,0.02,0.075,1.147327249,71.20382442
9_run2_BASS_BARE_BS,BASS,Managed,BARE,4,RZ,6.3,18,384,0.649213333,7.76,0.02,0.11,0.343612664,4.4121858
89_run2_ACP_BESE_RZ,ACP,Managed,BESE,2,RZ,7.333333333,14.7,110.3333333,0.40834,7.89,0.18,0.045,3.253093702,13.11779914
