SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
100_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.633,12.833,111.333,0.629,6.9,0.02,0.045,1.473,52.584
101_run2_ACP_BARE_RZ,ACP,Managed,BARE,3,RZ,6.667,17.467,-30.667,0.416,2.57,0.06,0.025,0.815,3.52
102_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,5,RZ,7.567,16.367,250.667,0.355,3.69,0.18,0.04,1.133,2.146
103_run1_ACP_BARE_RZ,ACP,Managed,BARE,2,RZ,6.467,17.433,116.667,0.545,2.15,0.02,0.04,1.031,3.677
104_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.4,14,294.333,0.476,5.321,0.04,0.025,0.627,22.577
105_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,5.8,13.633,319.667,0.597,6.682,0.02,0.025,1.142,22.704
106_run1_ACP_BESE_RZ,ACP,Managed,BESE,4,RZ,6.967,15.767,111.333,0.521,2.204,0.035,0.025,0.906,23.849
107_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.7,13.767,284,0.6,6.446,0.035,0.025,2.249,18.049
108_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.967,12.7,97.333,0.616,7.17,0.02,0.075,1.245,41.497
10_run2_ACP_BARE_BS,ACP,Managed,BARE,3,BS,6.667,17.467,-30.667,0.416,2.566,0.06,0.025,0.815,3.52
11_run2_ACP_BESE_BS,ACP,Managed,BESE,4,BS,6.967,15.767,111.333,0.521,2.204,0.035,0.025,0.906,23.849
12_run1_ACP_DEG_BS,ACP,Managed,DEGRADED,5,BS,7.333,18.3,53.333,0.582,2.849,0.02,0.04,0.121,1.488
13_run1_ACP_BESE_BS,ACP,Managed,BESE,5,BS,6.933,16.667,144.333,0.597,2.071,0.05,0.025,0.347,8.109
14_run1_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.033,14.433,300,0.594,4.432,0.109,0.06,3.294,19.219
16_run1_BASS_BESE_BS,BASS,Managed,BESE,3,BS,6.833,16.433,269.333,0.54,6.26,1.97,0.075,0.201,1.559
17_run2_TRUG_BESE_BS,TRUG,Managed,BESE,4,BS,7.667,16.067,268.333,0.264,4.14,0.28,0.025,0.32,1.856
18_run1_ACP_BESE_BS,ACP,Managed,BESE,2,BS,7.333,14.7,110.333,0.408,7.892,0.181,0.045,3.253,13.118
1_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,5,BS,6.333,17.567,76,0.617,8.44,0.18,0.139,0.387,13.322
21_run1_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.7,13.767,284,0.6,6.446,0.035,0.025,2.249,18.049
25_run1_BASS_BESE_BS,BASS,Managed,BESE,2,BS,5.567,15.333,285.333,0.551,8.33,0.66,0.06,0.29,4.205
26_run2_TRUG_BARE_BS,TRUG,Managed,BARE,4,BS,7.567,17.367,226.667,0.303,8.37,0.52,0.045,0.252,0.529
27_run1_ACP_BARE_BS,ACP,Managed,BARE,5,BS,7.1,18.3,130.667,0.569,2.208,0.116,0.025,0.569,3.031
28_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.633,12.833,111.333,0.629,6.9,0.02,0.045,1.473,52.584
29_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,6.4,12.417,151.333,0.556,6.36,0.02,0.055,0.74,66.514
2_run1_BASS_BESE_BS,BASS,Managed,BESE,4,BS,6.267,16.4,47,0.659,7.29,0.03,0.02,0.344,6.627
30_run2_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,5.8,13.633,319.667,0.597,6.682,0.02,0.025,1.142,22.704
31_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,1,BS,6.367,16.433,267,0.494,7.71,2.78,0.04,0.164,2.57
32_run2_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.8,14.6,-65,0.577,4.9,0.28,0.205,0.549,34.925
33_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,2,BS,5.9,18.1,307,0.538,9.27,3.64,0.055,0.06,2.496
34_run2_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.4,14,294.333,0.476,5.321,0.04,0.025,0.627,22.577
35_run1_BASS_BARE_BS,BASS,Managed,BARE,3,BS,6.367,18.6,292.333,0.516,5.63,0.91,0.04,0.126,1.884
36_run1_BASS_BARE_BS,BASS,Managed,BARE,2,BS,5.7,15.767,300,0.476,8.83,2.13,0.183,0.371,3.225
37_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,3,BS,5.333,19.467,283.667,0.535,8.48,0.53,0.08,0.154,2.533
38_run1_ACP_DEG_BS,ACP,Managed,DEGRADED,3,BS,6.667,17.633,30.333,0.548,3.248,0.284,0.1,0.095,1.267
39_run2_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.933,14.467,113.333,0.58,5.45,0.02,0.119,0.448,43.956
3_run2_ACP_BARE_BS,ACP,Managed,BARE,4,BS,7.4,17.567,70.667,0.568,2.46,0.089,0.025,0.114,4.045
40_run1_BASS_BARE_BS,BASS,Managed,BARE,5,BS,6.233,17.767,59.333,0.63,8.03,0.11,0.025,0.321,9.719
41_run2_BASS_BESE_BS,BASS,Managed,BESE,1,BS,6.3,14.533,265.333,0.422,6.53,1.34,0.134,0.253,4.196
42_run2_BASS_BESE_BS,BASS,Managed,BESE,5,BS,6.267,16.4,38,0.626,7.32,0.02,0.04,0.467,5.811
43_run2_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.733,14.067,25,0.62,6.17,0.02,0.105,0.201,29.767
45_run2_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.6,14.1,-51.333,0.639,6.89,0.05,0.055,0.159,39.506
47_run2_ACP_BESE_BS,ACP,Managed,BESE,1,BS,6.867,15.033,-30,0.419,5.66,0.02,0.035,0.513,23.207
4_run2_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.9,14.7,149.333,0.415,5.79,0.02,0.125,0.234,30.627
50_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.967,12.7,97.333,0.616,7.17,0.02,0.075,1.245,41.497
51_run1_BASS_BARE_BS,BASS,Managed,BARE,1,BS,6.033,15.667,256,0.417,7.49,1.23,0.146,1.101,2.03
52_run1_TRUG_BESE_BS,TRUG,Managed,BESE,5,BS,8.2,15.8,182,0.629,7.23,0.22,0.02,0.547,4.136
54_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.833,12.967,159,0.635,7.07,0.02,0.08,5.615,53.985
55_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.533,12.867,96.333,0.555,6.89,0.02,0.075,1.147,71.204
56_run2_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.7,14.3,289.333,0.62,8.606,0.04,0.061,3.091,16.898
57_run2_TRUG_BESE_BS,TRUG,Managed,BESE,1,BS,7.633,15.133,226.667,0.435,6.54,0.66,0.104,2.014,22.512
59_run1_TRUG_DEG_BS,TRUG,Managed,DEGRADED,1,BS,7.067,16.767,214,0.374,6.31,0.46,0.035,0.399,1.681
5_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,4,BS,6.133,18.333,58,0.55,7.15,0.02,0.025,0.619,5.051
63_run2_BASS_BARE_RZ,BASS,Managed,BARE,1,RZ,6.033,15.667,256,0.417,7.49,1.23,0.146,1.101,2.03
64_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,3,RZ,7.467,15.067,239,0.38,4.28,0.36,0.02,0.323,1.951
