Dataset,Data,EcologicalStatus,SoilPortion,n,mean_Chao1,sd_Chao1,mean_Shannon,sd_Shannon,RarefactionDepth
16S,Rarefied_10000,DEGREST,BS,43,1545.9107615790488,788.9138432076251,6.004177338202267,0.7909506252314576,10000
16S,Rarefied_10000,DEGREST,RZ,31,1892.8950771518034,730.5386741029912,6.115823669978533,0.5780330167157225,10000
16S,Rarefied_10000,NATURAL,BS,14,2048.6287733300933,705.3995198798568,6.364324085044014,0.5680021358202788,10000
16S,Rarefied_10000,NATURAL,RZ,15,1704.6896997875822,759.8942722401268,6.058659381466965,0.7461995576844163,10000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,10000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,10000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,10000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,10000
16S,Rarefied_15000,DEGREST,BS,43,1617.4606720770125,860.6801455356048,6.031027188272775,0.8018984042265718,15000
16S,Rarefied_15000,DEGREST,RZ,31,1984.8855274006532,788.026846643004,6.152189237824459,0.5884636425518053,15000
16S,Rarefied_15000,NATURAL,BS,14,2170.59799747219,764.7892980867342,6.403107209364753,0.5856532683203969,15000
16S,Rarefied_15000,NATURAL,RZ,15,1799.427913782092,828.092034792516,6.08701577043494,0.7612495565335927,15000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,15000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,15000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,15000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,15000
16S,Rarefied_20000,DEGREST,BS,43,1642.9736109468624,890.548391235363,6.045558747339278,0.8059450642940972,20000
16S,Rarefied_20000,DEGREST,RZ,31,2016.8201880025113,811.1823044852181,6.172580994872043,0.5970184129144431,20000
16S,Rarefied_20000,NATURAL,BS,14,2199.5459119302627,771.1056515360648,6.424924368712429,0.582103733149263,20000
16S,Rarefied_20000,NATURAL,RZ,15,1839.589513355651,841.3431097624978,6.107656943077384,0.767176453666667,20000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,20000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,20000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,20000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,20000
16S,Rarefied_25000,DEGREST,BS,42,1676.3767321350426,915.673309984408,6.048300064414161,0.8181385758466414,25000
16S,Rarefied_25000,DEGREST,RZ,30,2095.030231397632,833.1978725264561,6.197683000282514,0.6058808750745149,25000
16S,Rarefied_25000,NATURAL,BS,14,2254.228724024685,786.6291024212745,6.440334170161834,0.5890041220943459,25000
16S,Rarefied_25000,NATURAL,RZ,15,1849.2620781126093,851.0062427242065,6.1171863796241475,0.7696340909512834,25000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,25000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,25000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,25000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,25000
16S,Rarefied_30000,DEGREST,BS,41,1696.1612133706649,942.6292294405332,6.051454511886536,0.8322285298652176,30000
16S,Rarefied_30000,DEGREST,RZ,30,2119.7803065384032,841.9633552470405,6.202098398194831,0.6069501579451425,30000
16S,Rarefied_30000,NATURAL,BS,14,2264.4262492955068,797.1553242369389,6.4500971555333635,0.5890710992851205,30000
16S,Rarefied_30000,NATURAL,RZ,15,1870.109786050368,866.4466134296662,6.121865142193545,0.775333038618374,30000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,30000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,30000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,30000
