Term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Metric,Data,Dataset,RarefactionDepth,SamplesBefore,SamplesAfter
EcologicalStatus,651344.5129726733,651344.5129726733,1,97.1530840896891,0.7714580722758401,0.38193342980584555,Chao1,Raw,16S,10000,103,103
SoilPortion,12102.843172345567,12102.843172345567,1,97.2215563006307,0.01433471208682193,0.9049459538796766,Chao1,Raw,16S,10000,103,103
EcologicalStatus:SoilPortion,3514888.771253242,3514888.771253242,1,97.04007559466407,4.163064648168434,0.04403118653164203,Chao1,Raw,16S,10000,103,103
EcologicalStatus,494058.9483357855,494058.9483357855,1,97.11290003296021,0.8750917365408457,0.35186992662794736,Chao1,Rarefied_10000,16S,10000,103,103
SoilPortion,698.4081417697804,698.4081417697804,1,97.16523025972876,0.0012370410366096677,0.9720150671801124,Chao1,Rarefied_10000,16S,10000,103,103
EcologicalStatus:SoilPortion,2459171.9271333213,2459171.9271333213,1,97.02645617367504,4.355757626527181,0.039505465180873466,Chao1,Rarefied_10000,16S,10000,103,103
EcologicalStatus,0.5350929411752146,0.5350929411752146,1,99.00000000044925,0.9987212717875344,0.32005652974771087,Shannon,Raw,16S,10000,103,103
SoilPortion,0.19676483543429307,0.19676483543429307,1,99.00000000044925,0.3672506429563504,0.5458937045251189,Shannon,Raw,16S,10000,103,103
EcologicalStatus:SoilPortion,1.1231769306530976,1.1231769306530976,1,99.00000000044925,2.0963473937081347,0.15081102785100023,Shannon,Raw,16S,10000,103,103
EcologicalStatus,0.4741428073458097,0.4741428073458097,1,99.00000000019551,0.9720764904757297,0.3265663617836079,Shannon,Rarefied_10000,16S,10000,103,103
SoilPortion,0.19442849212948926,0.19442849212948926,1,99.00000000019551,0.39861274567406396,0.5292616264339873,Shannon,Rarefied_10000,16S,10000,103,103
EcologicalStatus:SoilPortion,0.8994850207341761,0.8994850207341761,1,99.00000000019551,1.8441031449688494,0.17755774985880085,Shannon,Rarefied_10000,16S,10000,103,103
EcologicalStatus,651344.5129726733,651344.5129726733,1,97.1530840896891,0.7714580722758401,0.38193342980584555,Chao1,Raw,16S,15000,103,103
SoilPortion,12102.843172345567,12102.843172345567,1,97.2215563006307,0.01433471208682193,0.9049459538796766,Chao1,Raw,16S,15000,103,103
EcologicalStatus:SoilPortion,3514888.771253242,3514888.771253242,1,97.04007559466407,4.163064648168434,0.04403118653164203,Chao1,Raw,16S,15000,103,103
EcologicalStatus,678205.1546128452,678205.1546128452,1,97.11686467066318,1.0162319582672683,0.3159195585319315,Chao1,Rarefied_15000,16S,15000,103,103
SoilPortion,127.0062859003952,127.0062859003952,1,97.1710694498378,1.903079706117684e-4,0.9890216440284872,Chao1,Rarefied_15000,16S,15000,103,103
EcologicalStatus:SoilPortion,2810576.9532233705,2810576.9532233705,1,97.02733376151595,4.2114072734606465,0.04284625203886355,Chao1,Rarefied_15000,16S,15000,103,103
EcologicalStatus,0.5350929411752146,0.5350929411752146,1,99.00000000044925,0.9987212717875344,0.32005652974771087,Shannon,Raw,16S,15000,103,103
SoilPortion,0.19676483543429307,0.19676483543429307,1,99.00000000044925,0.3672506429563504,0.5458937045251189,Shannon,Raw,16S,15000,103,103
EcologicalStatus:SoilPortion,1.1231769306530976,1.1231769306530976,1,99.00000000044925,2.0963473937081347,0.15081102785100023,Shannon,Raw,16S,15000,103,103
EcologicalStatus,0.4865041191072614,0.4865041191072614,1,98.9999999977688,0.9638895110605982,0.3286020833031885,Shannon,Rarefied_15000,16S,15000,103,103
SoilPortion,0.19625866548800577,0.19625866548800577,1,98.9999999977688,0.3888387820143656,0.534344501244606,Shannon,Rarefied_15000,16S,15000,103,103
EcologicalStatus:SoilPortion,0.987508318727311,0.987508318727311,1,98.9999999977688,1.9565074027594893,0.1650123481445047,Shannon,Rarefied_15000,16S,15000,103,103
EcologicalStatus,651344.5129726733,651344.5129726733,1,97.1530840896891,0.7714580722758401,0.38193342980584555,Chao1,Raw,16S,20000,103,103
SoilPortion,12102.843172345567,12102.843172345567,1,97.2215563006307,0.01433471208682193,0.9049459538796766,Chao1,Raw,16S,20000,103,103
EcologicalStatus:SoilPortion,3514888.771253242,3514888.771253242,1,97.04007559466407,4.163064648168434,0.04403118653164203,Chao1,Raw,16S,20000,103,103
EcologicalStatus,723864.7337876466,723864.7337876466,1,97.1204988032544,1.0267587675537668,0.3134389312359017,Chao1,Rarefied_20000,16S,20000,103,103
SoilPortion,2577.56222845689,2577.56222845689,1,97.17535587159374,0.0036561176328282433,0.9519088045961381,Chao1,Rarefied_20000,16S,20000,103,103
EcologicalStatus:SoilPortion,2775356.8504068987,2775356.8504068987,1,97.02989403343608,3.9366774567603926,0.05006898823297479,Chao1,Rarefied_20000,16S,20000,103,103
EcologicalStatus,0.5350929411752146,0.5350929411752146,1,99.00000000044925,0.9987212717875344,0.32005652974771087,Shannon,Raw,16S,20000,103,103
SoilPortion,0.19676483543429307,0.19676483543429307,1,99.00000000044925,0.3672506429563504,0.5458937045251189,Shannon,Raw,16S,20000,103,103
EcologicalStatus:SoilPortion,1.1231769306530976,1.1231769306530976,1,99.00000000044925,2.0963473937081347,0.15081102785100023,Shannon,Raw,16S,20000,103,103
EcologicalStatus,0.5106861827235321,0.5106861827235321,1,98.9999999994325,0.9987987054699325,0.3200378641576976,Shannon,Rarefied_20000,16S,20000,103,103
SoilPortion,0.18693968772408873,0.18693968772408873,1,98.9999999994325,0.3656161541399181,0.5467869540603633,Shannon,Rarefied_20000,16S,20000,103,103
EcologicalStatus:SoilPortion,1.0195455523264625,1.0195455523264625,1,98.9999999994325,1.9940245345987402,0.16105633876661238,Shannon,Rarefied_20000,16S,20000,103,103
