EcologicalStatus,SoilPortion,emmean,SE,df,lower.CL,upper.CL,Metric,Data,Dataset,RarefactionDepth
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,10000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,10000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,10000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,10000
DEGREST,BS,1544.2048349239285,130.6437269084274,6.472318921131011,1230.1017308793637,1858.3079389684933,Chao1,Rarefied_10000,16S,10000
NATURAL,BS,2043.8888681194433,210.584346433641,34.30513330761201,1616.0701533217803,2471.7075829171063,Chao1,Rarefied_10000,16S,10000
DEGREST,RZ,1895.0356795050002,148.85947670150918,10.645488799273338,1566.062060217987,2224.0092987920134,Chao1,Rarefied_10000,16S,10000
NATURAL,RZ,1704.6896997875826,203.8802464552818,31.418802535571388,1289.097730381322,2120.2816691938433,Chao1,Rarefied_10000,16S,10000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,10000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,10000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,10000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,10000
DEGREST,BS,6.004177338202264,0.10655465540917694,10.985915449152063,5.769615433570882,6.2387392428336454,Shannon,Rarefied_10000,16S,10000
NATURAL,BS,6.36432408504402,0.18691812158288826,58.414648363419914,5.990223352321471,6.738424817766568,Shannon,Rarefied_10000,16S,10000
DEGREST,RZ,6.115823669978535,0.1255161741622532,19.758254508493646,5.853796003159735,6.377851336797335,Shannon,Rarefied_10000,16S,10000
NATURAL,RZ,6.058659381466965,0.18032615971460547,55.091510605576396,5.697291173833794,6.420027589100136,Shannon,Rarefied_10000,16S,10000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,15000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,15000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,15000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,15000
DEGREST,BS,1615.7344351198763,140.64298523696465,6.680342052786505,1279.9133015945981,1951.5555686451544,Chao1,Rarefied_15000,16S,15000
NATURAL,BS,2165.7901520624782,228.09253975624844,35.72050323278642,1703.0713271030959,2628.5089770218606,Chao1,Rarefied_15000,16S,15000
DEGREST,RZ,1987.0568124243923,160.62043374972086,11.069161715867363,1633.8029296503944,2340.31069519839,Chao1,Rarefied_15000,16S,15000
NATURAL,RZ,1799.4279137820922,220.77193919380292,32.756905934870346,1350.1373622863243,2248.71846527786,Chao1,Rarefied_15000,16S,15000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,15000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,15000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,15000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,15000
DEGREST,BS,6.031027188272775,0.10839211715395534,10.985915449153714,5.7924204249265205,6.26963395161903,Shannon,Rarefied_15000,16S,15000
NATURAL,BS,6.403107209364754,0.19014139602824448,58.414648363423204,6.022555366811001,6.783659051918508,Shannon,Rarefied_15000,16S,15000
DEGREST,RZ,6.15218923782446,0.12768061425629007,19.75825450849611,5.885643084112679,6.418735391536241,Shannon,Rarefied_15000,16S,15000
NATURAL,RZ,6.08701577043494,0.18343576031146155,55.09151060557987,5.719416016608364,6.4546155242615155,Shannon,Rarefied_15000,16S,15000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,20000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,20000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,20000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,20000
DEGREST,BS,1641.2035468292322,144.0294585041434,6.760326867121161,1298.1649454086594,1984.242148249805,Chao1,Rarefied_20000,16S,20000
NATURAL,BS,2194.9407498948385,234.11283554148625,36.25660418513177,1720.2545659682023,2669.6269338214747,Chao1,Rarefied_20000,16S,20000
DEGREST,RZ,2018.8999385991547,164.6278910998669,11.232124988640772,1657.4679153873938,2380.331961810916,Chao1,Rarefied_20000,16S,20000
NATURAL,RZ,1839.58951335565,226.5767294490223,33.265256990593585,1378.755291298318,2300.423735412982,Chao1,Rarefied_20000,16S,20000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,20000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,20000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,20000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,20000
DEGREST,BS,6.0455587473392844,0.10909532336702232,10.985915449152008,5.805403995422727,6.285713499255842,Shannon,Rarefied_20000,16S,20000
NATURAL,BS,6.424924368712429,0.19137496000465892,58.41464836341904,6.041903652710083,6.807945084714776,Shannon,Rarefied_20000,16S,20000
DEGREST,RZ,6.172580994872043,0.1285089567925448,19.75825450849335,5.904305592610818,6.440856397133269,Shannon,Rarefied_20000,16S,20000
NATURAL,RZ,6.107656943077385,0.1846258207119477,55.09151060557581,5.737672343953934,6.4776415422008355,Shannon,Rarefied_20000,16S,20000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,25000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,25000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,25000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,25000
DEGREST,BS,1676.376732135042,144.0325078876552,7.772984157258604,1342.5410907217633,2010.2123735483206,Chao1,Rarefied_25000,16S,25000
NATURAL,BS,2251.1902593503833,237.19002122496263,41.07024158338079,1772.200172443799,2730.180346256968,Chao1,Rarefied_25000,16S,25000
DEGREST,RZ,2095.0302313976326,166.79938614569178,13.47758831056791,1735.975800887218,2454.0846619080476,Chao1,Rarefied_25000,16S,25000
NATURAL,RZ,1849.2620781126097,229.32594016853375,37.90380775992911,1384.9772896896768,2313.546866535543,Chao1,Rarefied_25000,16S,25000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,25000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,25000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,25000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,25000
DEGREST,BS,6.048300064414157,0.11176693339618732,11.090933009193728,5.802548552960264,6.29405157586805,Shannon,Rarefied_25000,16S,25000
NATURAL,BS,6.440334170161835,0.19386258346907853,56.81830925167354,6.05210413748257,6.8285642028410996,Shannon,Rarefied_25000,16S,25000
DEGREST,RZ,6.197683000282516,0.132244419016845,20.255240797013833,5.9220486522038245,6.473317348361207,Shannon,Rarefied_25000,16S,25000
NATURAL,RZ,6.117186379624146,0.18702185092177256,53.55336707523033,5.742158512915123,6.492214246333169,Shannon,Rarefied_25000,16S,25000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,30000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,30000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,30000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,30000
DEGREST,BS,1697.9100176192471,151.28969397259067,7.397127783914134,1344.0235813310765,2051.796453907418,Chao1,Rarefied_30000,16S,30000
NATURAL,BS,2260.558932386513,243.50691240160054,37.334312753076205,1767.3161509486067,2753.801713824419,Chao1,Rarefied_30000,16S,30000
DEGREST,RZ,2119.7803065384032,172.54749196389247,12.174044797618052,1744.4268577413877,2495.1337553354188,Chao1,Rarefied_30000,16S,30000
NATURAL,RZ,1870.109786050368,235.56125639780473,34.32876786085346,1391.5605321623839,2348.659039938352,Chao1,Rarefied_30000,16S,30000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,30000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,30000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,30000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,30000
DEGREST,BS,6.051454511886534,0.1142372646750041,11.351356400659785,5.800966261277409,6.301942762495658,Shannon,Rarefied_30000,16S,30000
NATURAL,BS,6.450097155533362,0.19568161519297567,55.99459825932484,6.058098941554704,6.84209536951202,Shannon,Rarefied_30000,16S,30000
DEGREST,RZ,6.20209839819483,0.13348231226525797,19.8845283941172,5.923555480817761,6.4806413155719,Shannon,Rarefied_30000,16S,30000
NATURAL,RZ,6.121865142193545,0.1887724963424481,52.758760585379484,5.7431950446797,6.500535239707389,Shannon,Rarefied_30000,16S,30000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,40000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,40000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,40000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,40000
DEGREST,BS,1798.4437234229542,158.3053940890338,8.612163892543037,1437.8585669955398,2159.0288798503684,Chao1,Rarefied_40000,16S,40000
NATURAL,BS,2275.5951309454686,247.2100861991798,37.513871683916975,1774.931418138755,2776.258843752182,Chao1,Rarefied_40000,16S,40000
DEGREST,RZ,2172.6026758764197,176.36869527973204,12.854515366475376,1791.1424498577821,2554.062901895057,Chao1,Rarefied_40000,16S,40000
NATURAL,RZ,2054.117141470547,256.09242077986346,40.97919613169589,1536.9200315924495,2571.314251348644,Chao1,Rarefied_40000,16S,40000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,40000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,40000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,40000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,40000
DEGREST,BS,6.086630510528602,0.12176513744820075,11.925438836123586,5.8211429792118174,6.352118041845387,Shannon,Rarefied_40000,16S,40000
NATURAL,BS,6.454072044542704,0.19814031747841537,50.327288569528456,6.056159619958433,6.8519844691269745,Shannon,Rarefied_40000,16S,40000
DEGREST,RZ,6.207746920206324,0.1375612489206432,18.356604746305088,5.919143370547795,6.496350469864852,Shannon,Rarefied_40000,16S,40000
NATURAL,RZ,6.259927619205386,0.20565555121006396,54.02003943230443,5.847616567033699,6.672238671377073,Shannon,Rarefied_40000,16S,40000
DEGREST,BS,1704.8768757758162,148.61252654774353,8.393258384418171,1364.9506873663229,2044.8030641853095,Chao1,Raw,16S,50000
NATURAL,BS,2294.9242667027775,250.78442622833361,46.204802022368035,1790.1817728868505,2799.6667605187045,Chao1,Raw,16S,50000
DEGREST,RZ,2141.556145100141,172.33983566348553,14.556172538480338,1773.2445621770225,2509.867728023259,Chao1,Raw,16S,50000
NATURAL,RZ,1906.6594464726973,242.32531845769452,42.85865332050069,1417.917254126277,2395.4016388191176,Chao1,Raw,16S,50000
DEGREST,BS,1862.3592130807579,178.9787678702987,6.933228884652802,1438.3140292457683,2286.4043969157474,Chao1,Rarefied_50000,16S,50000
NATURAL,BS,2284.3966849346966,256.051783114177,24.381769556128727,1756.36932208709,2812.424047782303,Chao1,Rarefied_50000,16S,50000
DEGREST,RZ,2357.404890986181,200.6127476521034,10.398661609069793,1912.7238386396864,2802.0859433326755,Chao1,Rarefied_50000,16S,50000
NATURAL,RZ,2063.672768162737,264.6617294505817,26.92544436367204,1520.5613886277251,2606.784147697749,Chao1,Rarefied_50000,16S,50000
DEGREST,BS,6.0833952149265045,0.11167617393179921,10.985915449152934,5.837559160567382,6.329231269285627,Shannon,Raw,16S,50000
NATURAL,BS,6.477490689896349,0.19590228673479373,58.41464836342189,6.085408914256366,6.869572465536333,Shannon,Raw,16S,50000
DEGREST,RZ,6.2189664977715475,0.13154907256910414,19.758254508495043,5.944344547353421,6.493588448189674,Shannon,Raw,16S,50000
NATURAL,RZ,6.1467388087341,0.1889934841364725,55.09151060557852,5.768001543298876,6.525476074169324,Shannon,Raw,16S,50000
DEGREST,BS,6.067334218383963,0.13360733202494343,12.376690664440472,5.777208468816777,6.357459967951149,Shannon,Rarefied_50000,16S,50000
NATURAL,BS,6.463908615407705,0.2054850897087286,43.945398162687894,6.049766094915387,6.878051135900024,Shannon,Rarefied_50000,16S,50000
DEGREST,RZ,6.251715901623628,0.15453447588957442,19.300556252394784,5.928612094217665,6.574819709029591,Shannon,Rarefied_50000,16S,50000
NATURAL,RZ,6.262075842142647,0.21327270734992199,47.3541865935785,5.833111191220899,6.691040493064394,Shannon,Rarefied_50000,16S,50000
