Dataset,Data,EcologicalStatus,SoilPortion,n,mean_Chao1,sd_Chao1,mean_Shannon,sd_Shannon,RarefactionDepth
ITS,Rarefied_10000,DEGREST,BS,27,258.1170301467379,166.5654425705197,3.461368488354882,0.7330135127115072,10000
ITS,Rarefied_10000,DEGREST,RZ,26,357.2497521177893,216.15410116725252,3.8744267706982605,0.9899284958883331,10000
ITS,Rarefied_10000,NATURAL,BS,15,359.0353971624781,90.44686282269474,3.645201078227819,0.7367499947312842,10000
ITS,Rarefied_10000,NATURAL,RZ,15,239.91508850798326,101.58166318394582,3.419143591273252,0.8311063116730887,10000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,10000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,10000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,10000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,10000
ITS,Rarefied_15000,DEGREST,BS,26,272.8930327787695,171.77943672381292,3.4852428489245777,0.7434733930601684,15000
ITS,Rarefied_15000,DEGREST,RZ,26,375.92997355296865,240.54633590543102,3.887012992048233,0.9899970001716756,15000
ITS,Rarefied_15000,NATURAL,BS,15,371.56785790723285,96.64266914308294,3.6552156578975463,0.7335557294345219,15000
ITS,Rarefied_15000,NATURAL,RZ,15,247.45880895469878,109.13828057286388,3.42449192432776,0.8253485182815794,15000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,15000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,15000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,15000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,15000
ITS,Rarefied_20000,DEGREST,BS,23,308.6256979203623,154.24988311148283,3.5859595990319053,0.7168740165544983,20000
ITS,Rarefied_20000,DEGREST,RZ,26,375.53781760522355,231.7250012704107,3.8830246624919957,0.9857517252964481,20000
ITS,Rarefied_20000,NATURAL,BS,15,379.9062942164742,100.25757337717243,3.6588193256219923,0.7393619216773124,20000
ITS,Rarefied_20000,NATURAL,RZ,15,251.64114806960856,117.14833929373644,3.431077489525118,0.8302614588130366,20000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,20000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,20000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,20000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,20000
ITS,Rarefied_25000,DEGREST,BS,23,311.5962981680283,160.23928881034618,3.591622594019152,0.7188730971192743,25000
ITS,Rarefied_25000,DEGREST,RZ,25,396.8522979781585,245.50283966886693,3.9214849399233356,0.9909803064962414,25000
ITS,Rarefied_25000,NATURAL,BS,15,379.14129480373305,98.98216433277186,3.655829750496723,0.7317320282297775,25000
ITS,Rarefied_25000,NATURAL,RZ,15,253.91697325613455,119.1906370111859,3.4247130521221605,0.8348402778164113,25000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,25000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,25000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,25000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,25000
ITS,Rarefied_30000,DEGREST,BS,23,313.53286834816055,160.9058826743539,3.594710566771226,0.7196166982547008,30000
ITS,Rarefied_30000,DEGREST,RZ,25,397.05907388366853,241.14879513844227,3.921834250946124,0.9938338651528464,30000
ITS,Rarefied_30000,NATURAL,BS,15,382.59981955348053,101.43213309538902,3.658137120448889,0.7361874452038721,30000
ITS,Rarefied_30000,NATURAL,RZ,15,254.6457380952381,120.12172269925841,3.4264947547298483,0.8362424033053987,30000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,30000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,30000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,30000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,30000
ITS,Rarefied_40000,DEGREST,BS,22,312.06208820974985,167.06200937103156,3.565265748685708,0.723586822907497,40000
ITS,Rarefied_40000,DEGREST,RZ,23,425.8351070145977,247.4150853416349,3.9946082068882833,0.9976199864003233,40000
ITS,Rarefied_40000,NATURAL,BS,15,385.0031866866749,101.43634157174539,3.660414601997251,0.7351854613484856,40000
ITS,Rarefied_40000,NATURAL,RZ,14,242.2235246726189,111.88665622992708,3.3828832634850285,0.8403221442433259,40000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,40000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,40000
