Term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Metric,Data,Dataset,RarefactionDepth,SamplesBefore,SamplesAfter
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,10000,87,83
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,10000,87,83
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,10000,87,83
EcologicalStatus,1290.4866663899302,1290.4866663899302,1,78.99999999748401,0.047453137204518735,0.8281174811735961,Chao1,Rarefied_10000,ITS,10000,87,83
SoilPortion,1913.0391694582574,1913.0391694582574,1,78.99999999748401,0.0703453298280662,0.7915254927547052,Chao1,Rarefied_10000,ITS,10000,87,83
EcologicalStatus:SoilPortion,228099.17145170065,228099.17145170065,1,78.99999999748401,8.387549876368917,0.004884738037985702,Chao1,Rarefied_10000,ITS,10000,87,83
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,10000,87,83
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,10000,87,83
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,10000,87,83
EcologicalStatus,0.6130028055745219,0.6130028055745219,1,77.44370617243965,0.9390048405237337,0.33555056786802506,Shannon,Rarefied_10000,ITS,10000,87,83
SoilPortion,0.03755555044482813,0.03755555044482813,1,77.62817632088074,0.057528029783119446,0.8110787388592058,Shannon,Rarefied_10000,ITS,10000,87,83
EcologicalStatus:SoilPortion,1.3798113568862649,1.3798113568862649,1,77.62817632155561,2.113611114571503,0.1500255668008986,Shannon,Rarefied_10000,ITS,10000,87,83
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,15000,87,82
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,15000,87,82
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,15000,87,82
EcologicalStatus,4222.567315389758,4222.567315389758,1,77.99999999872328,0.13271122308810515,0.7166230727710091,Chao1,Rarefied_15000,ITS,15000,87,82
SoilPortion,2111.8678024509686,2111.8678024509686,1,77.99999999872328,0.06637397065102492,0.7973698274774903,Chao1,Rarefied_15000,ITS,15000,87,82
EcologicalStatus:SoilPortion,245392.2835742153,245392.2835742153,1,77.99999999872323,7.712443084287755,0.006865081058121469,Chao1,Rarefied_15000,ITS,15000,87,82
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,15000,87,82
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,15000,87,82
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,15000,87,82
EcologicalStatus,0.6745339409766784,0.6745339409766784,1,76.40586053429267,1.026413279518125,0.3142001551230656,Shannon,Rarefied_15000,ITS,15000,87,82
SoilPortion,0.027168949125618853,0.027168949125618853,1,76.58174883852965,0.0413419821880419,0.8394185282114052,Shannon,Rarefied_15000,ITS,15000,87,82
EcologicalStatus:SoilPortion,1.3532140934355918,1.3532140934355918,1,76.5817488350653,2.05913569526577,0.15536745665197446,Shannon,Rarefied_15000,ITS,15000,87,82
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,20000,87,79
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,20000,87,79
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,20000,87,79
EcologicalStatus,12860.179665152029,12860.179665152029,1,74.99999999753989,0.43867186105211825,0.5097943494674826,Chao1,Rarefied_20000,ITS,20000,87,79
SoilPortion,17485.664882830468,17485.664882830468,1,74.99999999753989,0.5964511659716561,0.44236217879236706,Chao1,Rarefied_20000,ITS,20000,87,79
EcologicalStatus:SoilPortion,176957.3593604401,176957.3593604401,1,74.99999999753985,6.036168714490122,0.016327696336036476,Chao1,Rarefied_20000,ITS,20000,87,79
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,20000,87,79
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,20000,87,79
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,20000,87,79
EcologicalStatus,0.9674798471103605,0.9674798471103605,1,73.42762602687591,1.4763443361951059,0.22824001207827993,Shannon,Rarefied_20000,ITS,20000,87,79
SoilPortion,0.002017410666125776,0.002017410666125776,1,73.62515226555466,0.003078506306472593,0.9559029392354036,Shannon,Rarefied_20000,ITS,20000,87,79
EcologicalStatus:SoilPortion,0.8629609498470532,0.8629609498470532,1,73.62515226632954,1.316851730265465,0.25487309190051105,Shannon,Rarefied_20000,ITS,20000,87,79
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,25000,87,78
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,25000,87,78
