contrast,SoilPortion,estimate,SE,df,t.ratio,p.value,Metric,Data,Dataset,RarefactionDepth
DEGREST - NATURAL,BS,-145.4607526881721,64.55970209514548,82.90664221840382,-2.253119948939633,0.026892266352732078,Chao1,Raw,ITS,10000
DEGREST - NATURAL,RZ,141.53269230769226,65.41869954461654,81.07637816491231,2.1634898475957143,0.033447697595228955,Chao1,Raw,ITS,10000
DEGREST - NATURAL,BS,-100.91836701574007,54.900845022208586,78.63037909777626,-1.8381933278971645,0.06981042457188567,Chao1,Rarefied_10000,ITS,10000
DEGREST - NATURAL,RZ,117.33466360980586,53.489877277420824,77.08845331934342,2.193586330386576,0.031278843032499656,Chao1,Rarefied_10000,ITS,10000
DEGREST - NATURAL,BS,-0.2913278866794694,0.2669912312003081,82.09478332601607,-1.091151515987066,0.27839836536250345,Shannon,Raw,ITS,10000
DEGREST - NATURAL,RZ,0.45928524541612137,0.2715039427255429,81.02319287527754,1.6916337965684802,0.09455880740493386,Shannon,Raw,ITS,10000
DEGREST - NATURAL,BS,-0.09070834877942821,0.2663449693629488,78.12438163758065,-0.340567156182401,0.7343435644006171,Shannon,Rarefied_10000,ITS,10000
DEGREST - NATURAL,RZ,0.45073273342813736,0.2620273436744807,77.01272393053851,1.7201744180870195,0.08941692687305329,Shannon,Rarefied_10000,ITS,10000
DEGREST - NATURAL,BS,-145.4607526881721,64.55970209514548,82.90664221840382,-2.253119948939633,0.026892266352732078,Chao1,Raw,ITS,15000
DEGREST - NATURAL,RZ,141.53269230769226,65.41869954461654,81.07637816491231,2.1634898475957143,0.033447697595228955,Chao1,Raw,ITS,15000
DEGREST - NATURAL,BS,-98.67482512846419,59.582811237656514,77.84989429530587,-1.656095492622567,0.1017280982702146,Chao1,Rarefied_15000,ITS,15000
DEGREST - NATURAL,RZ,128.47116459826984,57.85785703154695,76.08564677877968,2.2204618558240248,0.029363795766997883,Chao1,Rarefied_15000,ITS,15000
DEGREST - NATURAL,BS,-0.2913278866794694,0.2669912312003081,82.09478332601607,-1.091151515987066,0.27839836536250345,Shannon,Raw,ITS,15000
DEGREST - NATURAL,RZ,0.45928524541612137,0.2715039427255429,81.02319287527754,1.6916337965684802,0.09455880740493386,Shannon,Raw,ITS,15000
DEGREST - NATURAL,BS,-0.0794459737450193,0.2685284165318625,77.05048256451704,-0.29585685854440125,0.7681352943962366,Shannon,Rarefied_15000,ITS,15000
DEGREST - NATURAL,RZ,0.45818019450921954,0.26290043277348474,76.01281985732822,1.7427898070597245,0.08541436841378611,Shannon,Rarefied_15000,ITS,15000
DEGREST - NATURAL,BS,-145.4607526881721,64.55970209514548,82.90664221840382,-2.253119948939633,0.026892266352732078,Chao1,Raw,ITS,20000
