EcologicalStatus,SoilPortion,emmean,SE,df,lower.CL,upper.CL,Metric,Data,Dataset,RarefactionDepth
DEGREST,BS,243.07258064516117,38.15757821699767,10.713130209545216,158.81312315389263,327.3320381364297,Chao1,Raw,ITS,10000
NATURAL,BS,388.5333333333333,52.07642805749687,41.73669453783393,283.41920056569927,493.64746610096734,Chao1,Raw,ITS,10000
DEGREST,RZ,401.93269230769226,39.59358396105566,18.863531419588533,319.0217723331101,484.8436122822744,Chao1,Raw,ITS,10000
NATURAL,RZ,260.4,52.07642805749685,41.73669453783393,155.285867232366,365.51413276763395,Chao1,Raw,ITS,10000
DEGREST,BS,258.11703014673805,34.656958188024944,9.934261178418595,180.82719406051132,335.4068662329648,Chao1,Rarefied_10000,ITS,10000
NATURAL,BS,359.03539716247815,42.57931461761761,37.9988611044155,272.8379963062798,445.2327980186765,Chao1,Rarefied_10000,ITS,10000
DEGREST,RZ,357.24975211778917,32.37543726110083,16.805191265056372,288.8831827561019,425.6163214794764,Chao1,Rarefied_10000,ITS,10000
NATURAL,RZ,239.91508850798328,42.5793146176176,37.99886110441558,153.717687651785,326.11248936418156,Chao1,Rarefied_10000,ITS,10000
DEGREST,BS,3.3728489989079278,0.19399633562608068,5.468395806288982,2.8867433665876443,3.8589546312282113,Shannon,Raw,ITS,10000
NATURAL,BS,3.664176885587397,0.24453958535633707,14.454656564557869,3.1412351256246582,4.187118645550136,Shannon,Raw,ITS,10000
DEGREST,RZ,3.8907238268213575,0.20016156377787758,6.863160193947133,3.415497165502892,4.3659504881398234,Shannon,Raw,ITS,10000
NATURAL,RZ,3.431438581405236,0.24453958535633694,14.454656564557876,2.9084968214424975,3.9543803413679743,Shannon,Raw,ITS,10000
DEGREST,BS,3.554492729448382,0.23853850365461607,4.171558541151243,2.902808394894635,4.206177064002128,Shannon,Rarefied_10000,ITS,10000
NATURAL,BS,3.64520107822781,0.27019229854106763,7.277260085192497,3.0111993982460388,4.279202758209582,Shannon,Rarefied_10000,ITS,10000
DEGREST,RZ,3.8698763247013814,0.23370773169481965,4.141120898716098,3.2296279765203932,4.51012467288237,Shannon,Rarefied_10000,ITS,10000
NATURAL,RZ,3.419143591273244,0.2701922985410677,7.277260085192501,2.785141911291473,4.053145271255016,Shannon,Rarefied_10000,ITS,10000
DEGREST,BS,243.07258064516117,38.15757821699767,10.713130209545216,158.81312315389263,327.3320381364297,Chao1,Raw,ITS,15000
NATURAL,BS,388.5333333333333,52.07642805749687,41.73669453783393,283.41920056569927,493.64746610096734,Chao1,Raw,ITS,15000
DEGREST,RZ,401.93269230769226,39.59358396105566,18.863531419588533,319.0217723331101,484.8436122822744,Chao1,Raw,ITS,15000
NATURAL,RZ,260.4,52.07642805749685,41.73669453783393,155.285867232366,365.51413276763395,Chao1,Raw,ITS,15000
DEGREST,BS,272.8930327787689,37.80119939042784,10.924492216637931,189.62293919206127,356.1631263654765,Chao1,Rarefied_15000,ITS,15000
NATURAL,BS,371.5678579072331,46.05627774394426,37.524979628183004,278.2930234442971,464.84269237016906,Chao1,Rarefied_15000,ITS,15000
DEGREST,RZ,375.9299735529686,35.01929326322275,16.58539311241084,301.90477619217427,449.9551709137629,Chao1,Rarefied_15000,ITS,15000
NATURAL,RZ,247.4588089546988,46.05627774394422,37.52497962818309,154.1839744917629,340.7336434176347,Chao1,Rarefied_15000,ITS,15000
DEGREST,BS,3.3728489989079278,0.19399633562608068,5.468395806288982,2.8867433665876443,3.8589546312282113,Shannon,Raw,ITS,15000
NATURAL,BS,3.664176885587397,0.24453958535633707,14.454656564557869,3.1412351256246582,4.187118645550136,Shannon,Raw,ITS,15000
DEGREST,RZ,3.8907238268213575,0.20016156377787758,6.863160193947133,3.415497165502892,4.3659504881398234,Shannon,Raw,ITS,15000
NATURAL,RZ,3.431438581405236,0.24453958535633694,14.454656564557876,2.9084968214424975,3.9543803413679743,Shannon,Raw,ITS,15000
DEGREST,BS,3.575769684152528,0.23988710178409733,4.3121534456594235,2.9283266447875675,4.223212723517489,Shannon,Rarefied_15000,ITS,15000
NATURAL,BS,3.6552156578975477,0.2702993666181111,7.3345671455905705,3.0219222826039043,4.288509033191191,Shannon,Rarefied_15000,ITS,15000
DEGREST,RZ,3.8826721188369784,0.23357000806985012,4.159455568881322,3.2438656032930675,4.521478634380889,Shannon,Rarefied_15000,ITS,15000
NATURAL,RZ,3.424491924327759,0.27029936661811105,7.3345671455905705,2.7911985490341156,4.057785299621402,Shannon,Rarefied_15000,ITS,15000
DEGREST,BS,243.07258064516117,38.15757821699767,10.713130209545216,158.81312315389263,327.3320381364297,Chao1,Raw,ITS,20000
NATURAL,BS,388.5333333333333,52.07642805749687,41.73669453783393,283.41920056569927,493.64746610096734,Chao1,Raw,ITS,20000
DEGREST,RZ,401.93269230769226,39.59358396105566,18.863531419588533,319.0217723331101,484.8436122822744,Chao1,Raw,ITS,20000
NATURAL,RZ,260.4,52.07642805749685,41.73669453783393,155.285867232366,365.51413276763395,Chao1,Raw,ITS,20000
