Dataset,RarefactionDepth,SamplesRetained,SamplesDropped,ProportionRetained
16S,10000,103,0,1
16S,15000,103,0,1
16S,20000,103,0,1
16S,25000,101,2,0.9805825242718447
16S,30000,100,3,0.970873786407767
16S,40000,93,10,0.9029126213592233
16S,50000,85,18,0.8252427184466019
ITS,10000,83,4,0.9540229885057471
ITS,15000,82,5,0.9425287356321839
ITS,20000,79,8,0.9080459770114943
ITS,25000,78,9,0.896551724137931
ITS,30000,78,9,0.896551724137931
ITS,40000,74,13,0.8505747126436781
ITS,50000,65,22,0.7471264367816092
