Sb.c: 16S Betadiversity-Envfit- Model A,,,,,
var,CAP1,CAP2,r2,p,p_adj
Temperature_avg,0.8651242,-0.5015577,0.51990209,0.001,0.0018
NH4,-0.7865315,0.61755016,0.50784534,0.001,0.0018
pH_avg,0.77293378,-0.6344867,0.26088836,0.001,0.0018
Moisture_avg,-0.815426,0.57886134,0.1381811,0.001,0.0018
PO4,-0.929919,0.3677643,0.13537429,0.001,0.0018
NO3,0.93547709,-0.3533874,0.04576573,0.047,0.0705
NO2,-0.8440666,0.53623843,0.03418691,0.101,0.12985714
Redox_avg,-0.411625,-0.9113533,0.02761792,0.215,0.241875
Salinity,-0.9784761,0.20636008,0.0051571,0.667,0.667
,,,,,
Sb.c: 16S Betadiversity-Envfit- Model B,,,,,
var,CAP1,CAP2,r2,p,p_adj
Temperature_avg,0.97820298,-0.207651,0.58860342,0.001,0.003
NH4,-0.9964447,-0.0842499,0.41223708,0.001,0.003
pH_avg,0.88250371,0.47030544,0.34760274,0.001,0.003
PO4,-0.9739715,-0.2266707,0.12076582,0.075,0.1584
Moisture_avg,-0.8033464,-0.595512,0.09181944,0.088,0.1584
NO2,-0.6418045,-0.7668683,0.06362446,0.132,0.198
NO3,0.75744391,0.65290024,0.02462618,0.424,0.502875
Salinity,-0.4135376,-0.910487,0.02969732,0.447,0.502875
Redox_avg,-0.2300908,-0.9731692,0.00665169,0.844,0.844
,,,,,
Sb.c: 16S Betadiversity-Envfit- Model C,,,,,
var,CAP1,CAP2,r2,p,p_adj
NH4,-0.5171234,-0.8559108,0.26189636,0.001,0.003
Temperature_avg,0.78804372,0.61561928,0.25000219,0.001,0.003
pH_avg,0.60905969,0.79312439,0.1023901,0.001,0.003
Redox_avg,-0.3784418,0.92562508,0.1145149,0.004,0.009
Moisture_avg,-0.5931337,-0.805104,0.07023597,0.011,0.0198
PO4,-0.9999909,-0.0042769,0.06943966,0.023,0.0345
NO3,0.64758393,0.76199413,0.04091443,0.077,0.099
NO2,-0.4540792,-0.8909613,0.03005558,0.119,0.133875
Salinity,-0.3978995,0.91742903,0.02499875,0.149,0.149
